# Masters
Metadata/NPC/Missions/Wild/StrDexInt; Zana, Master Cartographer; ffFFFF00
Metadata/Monsters/Perandus/PerandusGuardMapBoss2; Auriot, Prospero's Furnace Guardian; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss3; Rhodion, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss4; Osmea, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss4Clone; Osmea, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss5; Pallias, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss6; Argient, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardMapBoss7; Rheniot, Servant of Prospero; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant1; Junith Perandus, Keeper of Vaults; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant2; Tantalo Perandus, Seller of Secrets; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant3; Actaeo Perandus, Master of Beasts; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant4; Vitorica Perandus, Maker of Marvels; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant4Clone; Vitorica Perandus, Maker of Marvels; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant5; Stasius Perandus, Merchant of Corpses; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant6; Darsia Perandus, Collector of Debts; ffffd700
Metadata/Monsters/Perandus/PerandusGuardLieutenant7; Milo Perandus, Handler of Swords; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic1; Celona, Vault Sentry; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic2; Hortus, Knee Breaker; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic3; Kuto, Hired Muscle; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic4; Luthis, Bounty Hunter; ffffd700
Metadata/Monsters/Perandus/PerandusGuardBasic5; Belatra, Hired Assassin; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSupport1; Liana, Indebted Peasant; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSupport2; Marius, Indebted Smuggler; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSupport3; Vera, Indebted Aristocrat; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSupport4; Percia, Indebted Poacher; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss1; Sutrus, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss2; Otairo, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss3; Eiphirio, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss4; Artensia, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss5_; Anaveli, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss6; Rothus, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss7; Arinea, Vault Binder; ffffd700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss8; Meritania, Vault Binder; ffffd700

# Labyrinth
Metadata/Chests/Labyrinth/LabyrinthTrinketChest; Decorative Chest; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthGenericChestNoFlag; Hidden Coffer; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthGenericChestTier0; Hidden Coffer; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthGenericChestTier1; Supply Cache; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthGenericChestTier2; Labyrinth Trove; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthGenericChestTier3; Ascendant's Treasures; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthGenericChestTier4; Emperor's Gifts; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthWeaponsAndCurrency1; Battle Supplies; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthWeaponsAndCurrency2; War Spoils; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthWeaponsAndCurrency3; Warmonger's Cache; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthArmourAndCurrency1; Guard Supplies; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthArmourAndCurrency2; Guard Vault; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthArmourAndCurrency3; Guard Treasury; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthJewelryAndCurrency1; Emperor's Trove; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthJewelryAndCurrency2; Emperor's Vault; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthJewelryAndCurrency3; Emperor's Treasury; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthMaps1; Emperor's Charts; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthTreasureKey; Curious Lockbox; ff00BFFF
Metadata/Chests/Labyrinth/LabyrinthSpecificUnique; Intricate Locker; ff00BFFF

# Test area
Metadata/Chests/Barrel1; Barrel 1; ffDC143C
Metadata/Chests/Barrel2; Barrel 2; ffDC143C
Metadata/Chests/Barrel3; Barrel 3; ffDC143C
Metadata/Chests/Barrel4; Barrel 4; ffDC143C
Metadata/Chests/Barrel5; Barrel 5; ffDC143C
Metadata/Chests/CopperChest1; Copper Chest 1; ffDC143C
Metadata/Chests/CopperChest2; Copper Chest 2; ffDC143C
Metadata/Chests/CopperChest3; Copper Chest 3; ffDC143C
